,,,,,,,,,,
1990-1991 TOULOUSE-BLAGNAC ROSTER,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
DEFENSEMEN,,,,,,,,,,
,,,Christophe Chappa (D),55,1969,,176,70,-0,
FORWARDS,,,,,,,,,,
,,,Étienne Aubert (F),66,1958,,183,76,-0,
,,,Dominique Blondin (F),57,1967,,173,75,-0,
1991-1992 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
DEFENSEMEN,,,,,,,,,,
,,,Christophe Chappa (D),55,1969,,176,70,-0,
,,,François Gleize (D/F),53,1970,"Romorantin, FRA",183,72,L,
,,,Laurent Menanteau (D),53,1970,,182,84,-0,
FORWARDS,,,,,,,,,,
,,,Étienne Aubert (F),66,1958,,183,76,-0,
,,,Dominique Blondin (F),57,1967,,173,75,-0,
1992-1993 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
DEFENSEMEN,,,,,,,,,,
,,,Christophe Chappa (D),55,1969,,176,70,-0,
FORWARDS,,,,,,,,,,
,,,Étienne Aubert (F),66,1958,,183,76,-0,
,,,Dominique Blondin (F),57,1967,,173,75,-0,
1993-1994 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
DEFENSEMEN,,,,,,,,,,
,,,Christian Abeillé (D),55,1969,,175,70,-0,
,,,Laurent Menanteau (D),53,1970,,182,84,-0,
FORWARDS,,,,,,,,,,
,,,Étienne Aubert (F),66,1958,,183,76,-0,
,,,Dominique Blondin (F),57,1967,,173,75,-0,
,,,Grégory Rochut (F),50,1973,,170,66,-0,
1994-1995 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
DEFENSEMEN,,,,,,,,,,
,,,Christian Abeillé (D),55,1969,,175,70,-0,
FORWARDS,,,,,,,,,,
,,,Dominique Blondin (F),57,1967,,173,75,-0,
,,,Grégory Gibeaux (F),49,1974,,172,75,-0,
,,,Guilhem Pechmeja (F),48,1975,"Villefranche-sur-Saône, FRA",179,74,-0,
1995-1996 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
DEFENSEMEN,,,,,,,,,,
,,,Christian Abeillé (D),55,1969,,175,70,-0,
,,,Christophe Chappa (D),55,1969,,176,70,-0,
FORWARDS,,,,,,,,,,
,,,Étienne Aubert (F),66,1958,,183,76,-0,
