;#;N;PLAYER;A;BORN;BIRTHPLACE;HT;WT;S;Saison;Poste
2;;;Christophe Chappa (D);55;1969;;176;70;-0;1990-1991;DEFENSEMEN
4;;;Étienne Aubert (F);66;1958;;183;76;-0;1990-1991;FORWARDS
5;;;Dominique Blondin (F);57;1967;;173;75;-0;1990-1991;FORWARDS
9;;;Christophe Chappa (D);55;1969;;176;70;-0;1991-1992;DEFENSEMEN
10;;;François Gleize (D/F);53;1970;Romorantin, FRA;183;72;L;1991-1992;DEFENSEMEN
11;;;Laurent Menanteau (D);53;1970;;182;84;-0;1991-1992;DEFENSEMEN
13;;;Étienne Aubert (F);66;1958;;183;76;-0;1991-1992;FORWARDS
14;;;Dominique Blondin (F);57;1967;;173;75;-0;1991-1992;FORWARDS
18;;;Christophe Chappa (D);55;1969;;176;70;-0;1992-1993;DEFENSEMEN
20;;;Étienne Aubert (F);66;1958;;183;76;-0;1992-1993;FORWARDS
21;;;Dominique Blondin (F);57;1967;;173;75;-0;1992-1993;FORWARDS
25;;;Christian Abeillé (D);55;1969;;175;70;-0;1993-1994;DEFENSEMEN
26;;;Laurent Menanteau (D);53;1970;;182;84;-0;1993-1994;DEFENSEMEN
28;;;Étienne Aubert (F);66;1958;;183;76;-0;1993-1994;FORWARDS
29;;;Dominique Blondin (F);57;1967;;173;75;-0;1993-1994;FORWARDS
30;;;Grégory Rochut (F);50;1973;;170;66;-0;1993-1994;FORWARDS
34;;;Christian Abeillé (D);55;1969;;175;70;-0;1994-1995;DEFENSEMEN
36;;;Dominique Blondin (F);57;1967;;173;75;-0;1994-1995;FORWARDS
37;;;Grégory Gibeaux (F);49;1974;;172;75;-0;1994-1995;FORWARDS
38;;;Guilhem Pechmeja (F);48;1975;Villefranche-sur-Saône, FRA;179;74;-0;1994-1995;FORWARDS
42;;;Christian Abeillé (D);55;1969;;175;70;-0;1995-1996;DEFENSEMEN
43;;;Christophe Chappa (D);55;1969;;176;70;-0;1995-1996;DEFENSEMEN
45;;;Étienne Aubert (F);66;1958;;183;76;-0;1995-1996;FORWARDS
46;;;Dominique Blondin (F);57;1967;;173;75;-0;1995-1996;FORWARDS
47;;;Jérôme Bonello (F);47;1976;;185;80;-0;1995-1996;FORWARDS
48;;;Martin Bovo (F);45;1978;;188;88;-0;1995-1996;FORWARDS
49;;;Guilhem Pechmeja (F);48;1975;Villefranche-sur-Saône, FRA;179;74;-0;1995-1996;FORWARDS
53;;;Rodolphe Voyneau (G);51;1972;;176;75;-0;1996-1997;FORWARDS
55;;;Christophe Chappa (D);55;1969;;176;70;-0;1996-1997;DEFENSEMEN
56;;;Samuel Lesecq (D);48;1976;;175;70;-0;1996-1997;DEFENSEMEN
58;;;Emmanuel Arroyos (F);-0;;;-0;-0;-0;1996-1997;FORWARDS
59;;;Dominique Blondin (F);57;1967;;173;75;-0;1996-1997;FORWARDS
60;;;Jérôme Bonello (F);47;1976;;185;80;-0;1996-1997;FORWARDS
61;;;Martin Bovo (F);45;1978;;188;88;-0;1996-1997;FORWARDS
62;;;Dominique Ducharme (F);51;1973;Joliette, QC, CAN;180;86;L;1996-1997;FORWARDS
63;;;Olivier Escuder (F);46;1977;;185;80;-0;1996-1997;FORWARDS
64;;;Guilhem Pechmeja (F);48;1975;Villefranche-sur-Saône, FRA;179;74;-0;1996-1997;FORWARDS
65;;;Guillaume Solves (F);45;1979;;180;67;-0;1996-1997;FORWARDS
69;;;Christophe Leveque (G);51;1973;Megève, FRA;175;80;-0;1997-1998;FORWARDS
70;;;Rodolphe Voyneau (G);51;1972;;176;75;-0;1997-1998;FORWARDS
72;;;Christophe Chappa (D);55;1969;;176;70;-0;1997-1998;DEFENSEMEN
73;;;Jean-François Corront (D);52;1971;;178;70;-0;1997-1998;DEFENSEMEN
74;;;Samuel Lesecq (D);48;1976;;175;70;-0;1997-1998;DEFENSEMEN
75;;;Jean-François Tuaillon (D);51;1973;;188;90;-0;1997-1998;DEFENSEMEN
77;;;Dominique Blondin (F);57;1967;;173;75;-0;1997-1998;FORWARDS
78;;;Baptiste Bobillier (F);49;1975;Pontoise, FRA;174;75;-0;1997-1998;FORWARDS
79;;;Jérôme Bonello (F);47;1976;;185;80;-0;1997-1998;FORWARDS
80;;;Martin Bovo (F);45;1978;;188;88;-0;1997-1998;FORWARDS
81;;;Benoit Brisset (F);53;1971;;183;74;-0;1997-1998;FORWARDS
82;;;Olivier Escuder (F);46;1977;;185;80;-0;1997-1998;FORWARDS
83;;;Guilhem Pechmeja (F);48;1975;Villefranche-sur-Saône, FRA;179;74;-0;1997-1998;FORWARDS
84;;;Laurent Perroton (F);50;1973;Lyon, FRA;170;75;R;1997-1998;FORWARDS
85;;;Andrzej Swistak (F);61;1963;Nowy Targ, POL;173;75;-0;1997-1998;FORWARDS
89;;;Christophe Leveque (G);51;1973;Megève, FRA;175;80;-0;1998-1999;FORWARDS
90;;;Rodolphe Voyneau (G);51;1972;;176;75;-0;1998-1999;FORWARDS
92;;;Grzegorz Chlipala (D);44;1980;;183;92;R;1998-1999;DEFENSEMEN
